Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
73,51,-1463125488,1983771531
74,85,-1462299058,814270204
75,68,-1917781249,766292049
76,113,-1145995015,1772484396
77,62,-1559452228,-1191885192
78,45,-1442725271,1118684494
79,17,-1475891846,1196047345
80,62,1840910484,-793962268
81,96,1120964404,-1049243232
82,79,1907331777,578637536
83,51,1571142197,-1816689771
84,68,-978596344,1262356426
85,45,-1541911083,253919272
86,113,-1852627513,-1602821459
87,102,8746365,-1486006022
88,79,1520233266,1791873768
89,34,944174114,-2038952318
90,51,1561708472,1607714953
91,17,1390798604,1860935919
92,62,-1028271621,1013414828
93,34,1027774903,-1574132735
94,96,1809421383,-132916261
95,102,-593025028,957695909
96,34,751589051,1851130204
97,34,-1029222799,271309693
98,79,-1918179059,544087111
99,62,1309817931,-1477310620
100,113,810840034,-1277163896
101,28,-563595066,-1164524808
102,102,805206185,-89922507
103,62,-524434786,1719801659
104,68,868988644,215125445
105,45,1968461819,-1814382052
106,45,-1980469130,-314097546
107,96,-1028326434,-1106233986
108,96,-185631867,334784915
109,85,-1229253348,-1714179809
110,62,-1077443285,598188948
111,68,2005313771,-519672546
112,113,744490021,477023859
113,34,1786366474,897293774
114,62,881207723,-997306677
115,51,197032612,670271708
116,62,1612446772,535869071
117,79,-1477056652,233643705
118,113,-416721115,-438866926
119,28,-108723894,-1955921164
120,113,2004519168,-532800553
121,85,-687201021,687077487
122,28,1671579731,2092956783
123,51,-2030930852,-151378481
124,62,-1847551001,1841306021
125,113,-2144773895,960818060
126,79,-1249076646,67728493
127,45,-380827163,2126999697
128,79,-1146944349,771431611
129,28,-1699661358,1961315
130,113,-1907635317,-1248844998
131,62,89016547,-1537789063
132,45,-1455330715,1235826609
133,45,1680919166,-316741376
134,51,-520973326,171817110
135,62,811103608,-1295635024
136,85,-654769627,-101240817
137,96,-611448708,1974612963
138,17,469967883,926772042
139,45,-1915420350,1092933872
140,28,-595074383,918206184
141,45,-463817085,-759481894
142,96,91579765,-1091891227
143,17,-1408518209,-1485478378
144,34,1249103187,-1893527190
145,113,-1104231165,-2142675997
146,85,172973215,-1331333528
147,96,-1111998624,-1719346197
148,62,-1941120619,2089789455
149,62,-8350656,349764693
150,45,-315140384,-1308135219
151,96,392374431,1484679964
152,17,1055779408,834171013
153,102,-904152514,214636539
154,17,-299488985,-1056186568
155,113,1225367814,-275401348
156,17,-835454138,1446587422
157,45,-540572423,-1462338107
158,34,-1695961974,-1803246083
159,113,492702910,-3691924
160,113,816390253,-1687867930
161,51,-1264042783,1028605025
162,85,-568091595,1216332138
163,51,-1761664751,-2112601305
164,102,-94553328,-1474717266
165,102,-1778401561,-211607832
166,79,-394677405,378466276
167,28,-1414914953,-1301791682
168,96,1854446798,266358378
169,51,1431906559,-1895683767
170,102,402253837,-1972404345
171,102,171634789,107946149
172,17,358540710,1172524612
173,113,996736603,888632684
174,34,-1661522400,-529470734
175,79,1389434842,-351231479
176,34,210320670,1661881695
177,28,-1149707123,-1725616864
178,79,167472042,-694078750
179,113,1382236262,-488110350
180,17,1219846878,-1374058243
181,102,-216199276,264825399
182,45,-571066178,-671349773
183,68,-691211306,-333549584
184,79,-886856217,1574810902
185,102,-1679294908,-1573882490
186,62,-1033238068,958859893
187,45,-147055582,98991092
188,45,232317918,1447321826
189,28,379786532,-875066087
190,62,-440149365,1038355240
191,68,1447994029,-342045087
192,51,300201668,1227901929
193,85,1677978793,-317975372
194,34,-517498169,1458258032
195,79,-407010318,-2102882712
196,79,2096516059,-511524986
197,102,-608613037,-368277588
198,17,-1043958678,1171456253
199,34,-512767577,-1600364938
200,102,2096213449,1851935172
201,28,785414849,552542378
202,85,-488325974,1571506428
203,79,-742567136,1929113607
204,28,1031094501,1251404424
205,45,448600268,-1871766167
206,68,1571245398,764047076
207,17,-1214807178,-1368015360
208,34,1163726995,-1926788952
209,113,1377986808,871896836
210,17,1189955928,545018323
211,34,75218535,778264592
212,85,441082976,1659589463
213,102,49090932,955127150
214,17,-784149303,927273676
215,102,-2145326641,482049481
216,96,-2140261814,1869445848
217,34,-772060834,230907270
218,62,-308752646,-1871953025
219,113,805593374,1701957960
220,68,1952749583,-2101998307
221,34,-599998,340629714
222,51,279269084,2112429809
223,102,-1805411968,-2007852852
224,62,-580271370,973108396
225,68,76174001,1662813379
226,102,2036786008,1177252521
227,79,1245138689,1004913876
228,113,1089457325,455416371
229,62,-2066989427,-1111088191
230,28,1634040939,-1437434576
231,68,528782972,-816180411
232,34,345059276,814958799
233,62,423755978,-250890810
234,85,-1464162826,339785269
235,85,-1273235323,1288144574
236,17,-691182224,408564154
237,102,93836306,939471403
238,17,-1556129132,-1274577555
239,113,556617829,-727402481
240,34,83725848,1745882589
241,96,2003687449,897873045
242,34,616327695,1044626601
243,17,-1578363363,-2121087607
244,113,601681261,353877459
245,51,-1437749052,-1846251157
246,34,833121574,-832424370
247,96,2024907630,1504889166
248,85,-1695525060,467213374
249,17,-52957517,1399204090
250,62,-318159177,668458288
251,96,-968502468,499942404
252,79,-1149378240,-1162424199
253,17,447006733,157293556
254,34,1516003378,-1773306994
255,79,334191954,-1504974685
256,28,-287518347,-1306194282
257,68,1885890395,1696486799
258,96,1493058483,-832453603
259,79,711532625,-1217444018
260,113,11543545,-1373673163
261,96,1155562992,146476593
262,62,1473052492,-163245584
263,45,1403428937,1638135376
264,85,-1279402420,873093758
265,51,1230621164,-2002631282
266,17,-459602281,-1119534629
267,96,-1521812619,589405474
268,34,-2125009228,882387058
269,79,350322378,-161380834
270,102,-1432889989,-1068191370
271,51,-1135370297,-1359962488
272,102,710865117,652176480
273,85,650168881,-2037684210
274,51,-194143358,-796057598
275,79,-1818045488,1277657138
276,34,-1853285288,1376076723
277,28,467020730,1249524939
278,113,762394306,-1267334485
279,17,1617167336,1535596756
280,28,239876977,1987364947
281,34,-2092199916,-1809220282
282,68,1024911783,2097792949
283,85,-1522867042,-901878568
284,34,306388976,420992286
285,28,245868667,28922763
286,51,-1036136949,196855670
287,51,-2081279790,-1429158010
288,68,-999504503,1480759416
289,79,1041246340,1876218385
290,96,-713303625,969964283
291,34,-74147528,-2104846545
292,34,-1242787567,-1403924504
293,68,-618009132,-1227602897
294,17,716938472,729256792
295,45,-1883119125,-645242567
296,34,195929304,-1699897177
297,79,-2064811403,-1534257481
298,102,1223944024,85256145
299,68,-2010835450,-1416046188
300,68,134180393,1781339967
301,51,-1988410258,-1594187284
302,102,1086808795,-763314227
303,17,-494693395,2000780846
304,62,1267872805,-1609997425
305,79,643020865,91465389
306,45,409331176,-1238231262
307,85,1002376428,-48631651
308,51,-1807483260,1257043886
309,68,550465477,-411739600
310,79,341905772,199648521
311,68,-2121799799,1611344004
312,113,-1329570159,2120265900
313,102,465631802,-649648730
314,17,90850690,-362237354
315,28,-278330666,1953658749
316,28,1442578594,406423132
317,102,-178604814,1973276125
318,102,480188653,1226869620
319,96,1879078354,1680903367
320,62,997515438,-1332794727
321,17,-652554996,-2091347723
322,102,2120259244,679619565
323,34,385068516,-1321656834
324,51,1546239144,-785935474
325,51,-458920856,167637827
326,17,283180068,1011245816
327,96,-1637928872,108769998
328,34,-391975685,1576983918
329,96,-1872831852,-1311746543
330,34,-412988590,293228325
331,28,-431782761,30966289
332,85,-1478423338,28196065
333,96,-2128781197,-1259748479
334,113,834612348,1836492327
335,34,-1870447798,397897806
336,34,-1416644372,1144525369
337,79,2085538070,-698796336
338,79,-1209796487,1515049416
339,85,-1741767619,1795769292
340,62,1967067687,-284037606
341,34,707535247,-1135352877
342,51,915663472,702676070
343,113,-751814303,-966945874
344,85,2023951860,137178928
345,85,-1297096761,417152410
346,28,381964322,2099406509
347,45,-148595243,-608422866
348,28,1556339428,-438461494
349,68,-646685437,-852227342
350,51,1495235526,1876791059
351,85,-32980860,-1466520090
352,28,1685481654,1873652265
353,62,334231529,2018202459
354,79,-2146691773,890567553
355,45,797491698,1216285197
356,28,1197944058,-1224943276
357,68,1983159532,1285418081
358,34,-1798891023,-1842349936
359,51,1650806711,1856803908
360,17,1911001680,352256297
361,79,-1319036010,1227725232
362,45,828097698,-1480832330
363,51,1753678159,-1368415583
364,45,1656238256,744781085
365,62,1800812486,1580501685
366,28,352101372,-381157566
367,17,-260644977,-1605164559
368,85,-654974150,1843431865
369,17,304053709,-452899556
370,79,-1499574572,-127015876
371,51,-9588257,-361487622
372,102,-781501004,-101262642
373,79,42627435,-2064806851
374,96,-551953419,-673326263
375,79,630660720,29750465
376,17,1243749982,-2013889739
377,96,-780103157,1981265972
378,79,1783938367,-343394999
379,51,-1020876159,2089626376
380,34,-3877800,1969773120
381,85,-1573242393,1263924644
382,28,-1036127578,-1477646947
383,45,125252383,815189336
384,62,-143472207,-1766499121
385,28,-934257395,-313141859
386,62,-1610630685,-429668485
387,51,-1527975666,557942197
388,68,-787362286,-2004648299
389,62,1925920025,724608193
390,85,513023465,1187472550
391,62,-418871272,941468626
392,45,666100590,1246298781
393,62,619528571,-2144846993
394,68,-814875386,-1027671784
395,113,353493742,1415021544
396,102,1320499482,-1349806004
397,17,193881113,210509871
398,17,-1984600859,1809113351
399,102,675848974,-1958169301
400,62,-1060336820,300104342
401,45,1437747323,1031750594
402,113,-1741412736,-1538769392
403,17,345766722,1148613113
404,79,383431790,1638208235
405,85,-1963815512,856923551
406,96,-1338684357,1236866488
407,62,-1420682895,168090693
408,28,-1619993856,67756698
409,62,266286058,-119253626
410,113,1763266937,437870373
411,45,-1720739994,-1812552854
412,62,2123391245,-364916247
413,45,-1071162444,-1496736288
414,28,-1542283321,1562024427
415,62,1553900097,721533878
416,17,1951980438,1204066414
417,45,1099120420,1953034713
418,17,-344809138,-1902507185
419,96,-2030791918,-847645038
420,28,994807348,290590057
421,62,104779171,-859722780
422,28,-388596700,-1010261790
423,51,96290123,258879896
424,96,-1143755957,-15997488
425,28,-833118064,-798568658
426,113,1001183935,-2092900504
427,45,-1319694464,656069049
428,45,305599650,-307424425
429,34,1835305630,-299660430
430,113,-905760059,-1481896039
431,17,1816083693,1268281454
432,34,2042494169,-1815329767
433,85,380478238,1119706035
434,51,626253914,1709214530
435,34,-138628035,2004463690
436,34,1821160496,-1419065466
437,28,-1860612372,1780468069
438,17,-1997584569,1789733141
439,102,-787951942,-1161959790
440,68,-597503873,-11093120
441,102,-124570323,105782135
442,34,-178818552,-1558341662
443,113,-1315983782,-68707502
444,17,1932541341,-728363298
445,85,-1670015807,-746304335
446,34,1431320884,-1777803854
447,102,-41997920,767139881
448,113,810507655,-1887490238
449,96,1074440861,-1801821279
450,51,1141691957,1678328805
451,68,-125270980,136750323
452,45,-1758280606,1483259801
453,17,-49625179,-4438554
454,51,-713386473,1817642943
455,17,1047415156,901971800
456,113,90620722,-865510747
457,68,1514887122,249112744
458,113,-1077079399,-364388959
459,51,1826567848,-1259847753
460,113,1365414579,1327394310
461,51,477462949,1270736617
462,62,553921927,1512393129
463,28,1233011213,-352553537
464,34,-1062662841,-1546078748
465,85,-587754067,-294723052
466,45,1356727271,-565941605
467,102,-1392589456,1677894183
468,51,-228748324,-320244401
469,62,-1055229638,-1695613927
470,79,1508749864,434959336
471,17,-246270871,878908272
472,34,1525604491,544654687
473,28,-1515969688,1043831484
474,79,1536849662,1645389804
475,34,214077997,-327189842
476,102,-667268389,-1235024755
477,34,-259086600,1095120627
478,34,1939287094,-249515872
479,45,952078203,1988485025
480,28,1824683018,-1466571514
481,17,129730250,-500732635
482,102,353083867,1344411066
483,79,-1719209272,1071043509
484,68,-1479175965,885265339
485,85,1159689155,-1649955220
486,102,622129142,-808327532
487,79,546430394,-1867674899
488,113,964682514,645558954
489,28,-16138145,674496177
490,96,976333545,-1231798475
491,28,-821181296,77938486
492,85,938682026,418073597
493,113,1706433355,568591806
494,79,-705033626,-1892761884
495,85,-1471121831,-453680902
496,102,-1348692100,-120802678
497,45,385090306,-1840701654
498,102,-895471622,18152673
499,68,202517847,-843501421
500,113,-1172180418,-2133539293
501,68,-130810292,-740751593
502,51,419108852,117266365
503,113,1250607111,-615786019
504,68,-1206328617,-2139129312
505,45,289888579,-1675966715
506,113,-1251782401,-1993985158
507,34,-337690456,1764599994
508,96,-1505449538,-881253156
509,28,-1613770125,-853654396
510,68,443862432,-560330004
511,79,1059237959,765502677
512,96,1358036188,1447864360
513,113,-730151839,2018915134
514,68,-2092482631,1939339732
515,96,944507973,-295936612
516,68,-1607346399,1824869570
517,68,2035772092,-1384704412
518,45,-256160046,1916782869
519,45,2073168191,323690967
520,113,591273032,75006329
521,45,-1401958130,1648118973
522,17,-1843944109,807196833
523,85,1446195032,1410324763
524,17,-2015065943,-1157410689
525,79,-1621056951,945333196
526,79,-105478005,183278375
527,79,-1547069378,-1104703794
528,17,251882609,353955107
529,45,1974039827,-944282602
530,113,-979938684,77415013
531,62,-269975488,218162342
532,45,881284318,1139911661
533,85,-1743341416,795567800
534,85,1337831974,604624801
535,102,-963955723,90233965
536,96,-1881775766,-418406596
537,68,566087240,1745045192
538,62,1377811242,-957870477
539,51,1037421791,1024459968
540,62,-1394527555,-515422127
541,102,991576386,747873587
542,28,-1707403480,-2067361047
543,85,-1559473131,1462797838
544,113,1641336521,348267209
545,79,-1568769525,39905465
546,62,1663191037,773856804
547,17,-825301424,-589278413
548,79,-665787510,-2092123696
549,96,-1703121427,-298464589
550,17,-1596665741,-1645852892
551,51,-301311235,690112592
552,85,1395287700,1844402958
553,68,-1180179773,-98158713
554,113,-1000429927,-1452838750
555,113,538155068,1823575449
556,45,975806822,690649720
557,102,1976927696,-1223935272
558,85,809312985,1514334982
559,79,-1218064279,2034568044
560,96,-1828679347,1967480030
561,34,1631903765,259670717
562,68,755831338,-855632835
563,79,-951460993,-666333277
564,79,376586372,165017507
565,113,543147774,327914399
566,68,-1597479101,-860729128
567,79,-1478533635,1052232770
568,85,129440158,2057706341
569,17,2021564855,218520635
570,34,1379177297,632890505
571,113,1517136345,-738211414
572,113,92916113,-1779449492
573,62,-292922128,1066353928
574,45,-1098238907,1816459894
575,96,878493736,456298886
576,62,1306078351,-1005698631
577,113,1616947631,537682695
578,85,1814624390,557074802
579,96,-1348301820,-1356902889
580,79,837894452,27407337
581,62,-2061147431,-257466971
582,51,-636275189,1400369143
583,62,2018397551,1359107739
584,45,-1724018770,-1871432633
585,17,-1334632362,1305231502
586,51,1300955092,463060493
587,45,1376836331,1300610984
588,102,883509365,1258038148
589,102,-835232839,-1241203045
590,85,1419493957,-1344928246
591,85,714568189,662468250
592,79,-1594928361,1949694618
593,96,-1013879906,-25920334
594,17,1349065388,-1921964382
595,102,2116352404,837752113
596,102,586107010,-1464617411
597,79,624275228,-771622358
598,34,1816328696,1561551613
599,17,323272440,477309872
600,62,626142746,-1718814025
601,34,162483352,259758957
602,51,932208531,823114182
603,68,229508714,1588359208
604,45,-1435785802,1031533801
605,45,-1476172740,574316685
606,28,-1216114846,1247453860
607,17,-814877005,1623806540
608,68,-1828359355,-1242979249
609,51,1608460287,-632883002
610,85,-1772563862,1629943051
611,102,1623701403,1507395516
612,113,-1504679120,1246135374
613,34,763179253,649879284
614,96,475613661,586601194
615,51,1956555222,-898696403
616,96,2143988864,-410095710
617,28,1461013268,-2038899658
618,96,-1881796002,-1214971854
619,113,1028544188,1996459448
620,62,1505711813,-1326272081
621,28,1159857279,988601088
622,113,1633911375,-2109652600
623,28,672544731,180233390
624,85,-1690368834,-1259924389
625,85,654085598,-1982175437
626,113,445454937,390801262
627,102,-1492904156,-1144524944
628,68,218809165,-1078727290
629,85,-38996593,1685762352
630,96,-1842347817,-1342516
631,28,-598710382,-961395298
632,113,809508350,-1224994522
633,51,804466894,207546215
634,96,1938373079,734927282
635,17,1440183040,-1636748191
636,51,582753146,-1420527459
637,34,-1830595449,-985501112
638,68,29255057,-444094021
639,113,287397928,-959982367
640,51,2100401385,2088408798
641,85,243226951,-2084024205
642,62,-1816038851,1125447699
643,28,-424795057,1596657019
644,51,322588479,-958013896
645,85,-2130014835,-68302850
646,17,946552550,-683367678
647,96,-1926041217,-1638398427
648,68,12896206,220086995
649,28,2102118312,1735148752
650,62,728515944,1994179141
651,96,-2046716526,647478557
652,34,144877686,-54946372
653,17,-1402412487,782705967
654,45,-1540582065,408146066
655,51,-813356372,-1467303842
656,96,649173332,1815445934
657,85,-91219817,1068708101
658,17,1220492047,-465230042
659,45,1477341380,-1300505959
660,96,1297212273,653602689
661,51,1137611496,1271469890
662,51,-1815596051,806432729
663,34,1709156124,1340916972
664,34,-1108300556,-1000341572
665,34,1165980081,-316722110
666,85,-107319879,819107580
667,113,535638007,76122860
668,45,518641748,-196832723
669,62,-2117092704,371927269
670,102,-1294398994,-849263417
671,62,-1750329815,1569205067
672,62,684884494,-240594107
673,45,-1460451512,1620452755
674,102,-308789003,94956923
675,17,-2011720241,291511140
676,17,24459445,-315913471
677,68,-1905879305,1244894334
678,113,-86501580,896117666
679,51,-604528110,-376286282
680,34,934499623,1018392948
681,28,-887993219,-812849431
682,79,-640433992,-497157746
683,34,-994746479,-922724353
684,45,1117615748,-1128585515
685,34,405574357,532375660
686,96,-84708350,1272706610
687,85,-1121056622,1043846711
688,28,1875082365,-1848954141
689,79,-1418316927,2072468970
690,62,-178870219,-256696428
691,34,1215854286,-319410606
692,17,-1501153747,270728327
693,113,-1208169659,1778761333
694,79,-670049234,665785274
695,79,-789246640,-796803892
696,51,741870539,1167722005
697,34,-2090880328,-1578068660
698,45,1893826115,-1562932911
699,28,-389690495,769728545
700,34,1332029951,-1008876036
701,34,-497481325,-932882326
702,79,939327307,1878136301
703,113,391664600,1613049599
704,102,454241813,-2137715506
705,96,-154666266,1489796881
706,113,-521595771,9945808
707,102,134793453,-513984629
708,102,1111333558,-1403956093
709,85,1121906354,1470653811
710,51,789802968,-1127566552
711,45,-518154728,-904810004
712,113,-357174762,-990411542
713,102,412118434,-1133560839
714,28,1563093906,-1138947799
715,34,-1144316606,1660652129
716,28,449644124,-695256231
717,45,1539294239,93929607
718,62,1900357350,1941426637
719,113,1365622251,-1417309507
720,96,1352397679,-768627449
721,113,1449080124,1088153365
722,45,1426595326,-1005430391
723,28,-1052495382,872754926
724,79,37439092,-1662450445
725,34,-1801568398,1919004816
726,28,-940292870,993186412
727,102,1211535337,1096389432
728,17,-1277692522,1049041078
729,68,-785043384,-1613780705
730,85,570517500,2061558662
731,28,1680650270,1857697944
732,68,-306992164,229300237
733,17,1655634718,-428175770
734,51,1956217476,831763825
735,68,-713326753,1188095255
736,34,1730305480,-1926553218
737,17,1751804073,1743636500
738,68,1658085895,349492249
739,96,1316738566,1058302306
740,45,1499822179,-1356875711
741,85,-19705313,-1353121136
742,34,566132193,-461628998
743,34,1104385888,-1631236684
744,85,787481606,333044420
745,79,-1221140939,-492371920
746,96,900142917,275995016
747,34,1114040326,-982744865
748,79,708756159,-949063249
749,85,-299220778,-982479442
750,45,2134531668,1203002451
751,62,-1258656200,-395313724
752,34,-1384610287,-1900710446
753,17,1704184243,-1972297542
754,17,-1489813878,1754352538
755,45,-485103718,1095656518
756,96,1257986130,-177174444
757,28,-1734331929,1944572121
758,51,1825051564,719418109
759,17,-714400971,902448161
760,45,1793372854,547391208
761,17,1207433888,1829374916
762,34,1697423995,1337282419
763,62,1897571225,-1958429102
764,45,1718153168,-1991435296
765,102,881379891,305180909
766,96,1179076066,-1437483895
767,96,-192356305,1233260238
768,62,89684188,-977006335
769,79,-709568954,-1081491531
770,17,985890407,-961909470
771,68,-913185012,-1035273793
772,28,1762074836,1531007167
773,17,1802943179,-615910529
774,79,748232904,-1382164631
775,28,55088891,-2074730796
776,17,2022846720,-290624785
777,68,860499294,-841850523
778,28,43369030,2136725657
779,68,-2036784214,-1025486515
780,113,718925954,-1034687745
781,62,1188200612,-30278828
782,102,-1213505936,135497703
783,51,140433516,99795880
784,85,-337930507,1460224337
785,68,-1061530659,-1410753460
786,17,997628764,1219315740
787,85,-1309021590,-1615023631
788,96,-1322062292,-475757101
789,85,-2038761255,1574721047
790,85,1662598851,-1590452503
791,96,822778786,-16989163
792,113,-905060814,-170714216
793,28,220215861,1742488025
794,17,1878248216,645037289
795,51,842424915,-984396579
796,51,1829582441,1978470641
797,17,-1239526455,-1369534460
798,85,-1889130368,1015749477
799,113,2037744180,708268216
800,102,-352186614,-1894765932
801,45,-743248588,1575500681
802,34,-1708302082,-1758142284
803,79,-1594240316,-1049173549
804,51,-2059451498,538536608
805,85,-1888576689,569172007
806,51,-353316491,-1609902390
807,68,1876377395,-2073978613
808,102,1652201932,275787580
809,62,949024814,-1809388864
810,113,-1564828045,644734824
811,62,-163484801,75322028
812,28,-575557256,1859722848
813,45,-729857037,1178229103
814,17,-411021850,-638099726
815,34,-1393402511,488723901
816,45,1973294263,1741995084
817,68,986592669,27758153
818,45,1744029104,-1356954287
819,45,929786905,1771085339
820,85,1095157189,1382761476
821,62,788458456,1372207969
822,51,-1034704890,-1969636566
823,28,1966722540,618646452
824,85,1433690775,1759333458
825,96,1712203923,-1267279860
826,28,-254592089,-1101157209
827,51,1988308157,-514295202
828,34,80054489,-1933932573
829,45,-945176359,1680423061
830,62,-2036524226,657126989
831,45,1794511505,301988217
832,113,-1581601948,916887777
833,34,143817711,1190222190
834,113,622484590,1560284063
835,51,1950881937,404422995
836,85,-551788285,1263464605
837,79,1809338147,764985074
838,102,-1378798987,-1447768608
839,34,2066942760,-365267215
840,45,844140809,-547149892
841,62,-1945592864,1444092270
842,96,220900801,1359869888
843,79,1987600609,868806921
844,113,-139220023,-1528449859
845,28,-1940467785,-266465122
846,62,-1493409540,-333747897
847,34,-626705720,-1549236544
848,96,-75970106,-610760295
849,85,-233945911,1530123819
850,102,-819736783,-1574626538
851,113,-600930097,-1736902753
852,62,1913026574,854462607
853,34,-36217870,-2038347854
854,62,1541463537,-1406736259
855,79,-9545680,-636468474
856,28,1146406452,-439213343
857,68,-1011362823,-602004971
858,68,2110802136,-638157064
859,45,-2074795688,-1667354587
860,79,-1928356216,-1537804621
861,79,923310702,-1385030094
862,34,694106759,-1010481601
863,68,1721226222,-1501793159
864,34,-868240366,-424030234
865,51,-295495344,-1690466167
866,96,-1600625444,-1252305412
867,79,-1980762798,-788969611
868,28,332418048,1878291753
869,51,1340991845,-2121520032
870,85,-567816586,627679414
871,45,570318521,-1883011179
872,62,-1419266301,577122168
873,45,-1142545601,294703245
874,68,-306790506,1927431664
875,79,-274563391,-480525636
876,17,2088786849,-1664023561
877,96,-1603111342,-794270033
878,34,-841343810,-367295135
879,102,1204660887,-916026941
880,102,-1804235849,-626965429
881,51,-812876691,1746483928
882,34,59903749,1439381200
883,51,-12491762,-627443008
884,102,975222875,-1059018469
885,79,1200374852,-1815818828
886,79,-308752146,328881024
887,28,419852595,387665023
888,28,-1281088768,-684399089
889,102,299947200,-391218291
890,79,-476930951,125406021
891,68,1590383585,-812676191
892,96,-1942313018,266710964
893,28,2136117118,970566502
894,68,-639792135,-7553886
895,79,1350129277,1523269151
896,17,1668489888,-1611850854
897,51,-1221644655,-1038252029
898,79,262085640,-1202763693
899,34,-1439513445,81075426
900,68,-1843453523,1071911177
901,85,-96562603,-1795414516
902,62,-1671421458,-1626213739
903,17,386491217,1265071967
904,45,-1923226858,339996582
905,102,1442600183,1663395842
906,28,-272970302,1130195621
907,113,-429423471,-1556889110
908,17,778955005,254271078
909,51,-551671013,-1477615279
910,62,1554096120,-212577235
911,102,2064452588,-633085511
912,28,-939381818,-326499358
913,113,-1451438329,91096969
914,79,804596097,-1750176746
915,17,-1512149333,-1099377589
916,51,2118452095,-1047705365
917,79,-769362597,957965314
918,17,-304954355,-771663036
919,113,-20677278,844939894
920,17,1902692047,1408777667
921,62,1720354605,2014401620
922,51,-730860588,-814558379
923,62,1149508816,862918067
924,96,1659243406,1123986773
925,68,2125325665,1735315973
926,51,855117652,-1948579512
927,62,-32880754,949547651
928,113,-1034726504,1489960543
929,34,983662083,833088001
930,102,918411716,-1038032463
931,85,-1426632994,-798086344
932,62,24614082,598040989
933,51,1189851924,1980951622
934,62,-1647784837,-1561384108
935,102,-136241861,1426151770
936,17,2132970103,614772980
937,45,-116873423,19743333
938,79,-1021687673,-2044152477
939,68,-1606189618,138781365
940,51,-110917993,1738701915
941,17,-1115432268,1774279688
942,96,-1060397116,1458892061
943,34,743942506,400597016
944,17,1434366184,1680906444
945,34,-1526533859,36891291
946,96,1094335196,-2104531263
947,96,1171892218,-49840061
948,102,-1077730714,537007519
949,34,-1028988520,-1123023512
950,45,138576020,-745042597
951,62,-1071678113,-339761482
952,62,-1616129837,2139621563
953,34,-2068337828,-1464883288
954,45,-534271907,-1254683985
955,85,-955300156,1725778009
956,28,-2139779120,-1699789591
957,62,1527511289,-1340450992
958,102,-1554048254,1614008990
959,102,240046385,597099967
960,62,792488330,-1934704538
961,68,2069259578,767177112
962,85,1519064433,6351195
963,51,-1938615091,1792972309
964,17,85332252,-187823492
965,85,-1733065711,-692442331
966,34,-494369022,-902417595
967,85,997782114,1317998696
968,79,-1337667559,1416815807
969,68,468228082,1902818450
970,68,-359813584,312879774
971,96,1108292376,76390444
972,85,1213463525,671615705
973,34,1365567482,918370263
974,96,-258457302,-2075576223
975,34,2107741443,-1772420390
976,62,-1864711990,-1948907538
977,79,1965651089,-1692709137
978,34,1820661406,7371850
979,17,660577574,995350718
980,17,1235813473,-39359607
981,62,1417329306,209011320
982,51,-1269194563,-1083934663
983,85,1077155536,-1372045361
984,45,409259925,-953669793
985,17,-1798981600,1604801699
986,96,-734504828,815924218
987,96,1642585461,-846611823
988,17,-872269975,-656474668
989,79,1876876741,664620574
990,34,-2090484795,-275244681
991,28,418727654,-1197043819
